,dates,user_sentiment,tweet_sentiment,n_tweets
0,2016-05-06 11:05:56,0.5088693002502993,0.6059425933939132,13866
1,2016-05-09 11:05:56,0.6212323064113239,0.700651362300421,50356
2,2016-05-12 11:05:56,0.5381322825016136,0.643802141700909,64248
3,2016-05-15 11:05:56,0.587989490012346,0.6678815701723095,64477
4,2016-05-18 11:05:56,0.5931579915394519,0.6715423278929237,17707
5,2016-05-21 11:05:56,0.6115209252326056,0.6976681219751583,59094
6,2016-05-24 11:05:56,0.5639585354644334,0.6635790701325498,89174
7,2016-05-27 11:05:56,0.5609994636716409,0.6589706232159848,67264
8,2016-05-30 11:05:56,0.5505626727931155,0.6449311980097956,51452
9,2016-06-02 11:05:56,0.5886822890134148,0.6543801210824479,41129
10,2016-06-05 11:05:56,0.5359728205355954,0.6279780208700912,99185
11,2016-06-08 11:05:56,0.5410885086892092,0.6263126450515867,87038
12,2016-06-11 11:05:56,0.5387874727851282,0.6378885753422607,133597
13,2016-06-14 11:05:56,0.5198797746958868,0.5999286096733892,84045
0,2016-06-14 11:36:55,0.4813832113595941,0.572524342866883,140801
1,2016-06-17 11:36:55,0.4633808442125758,0.5648803884414969,168880
2,2016-06-20 11:36:55,0.4241596471710108,0.5367892425647277,212467
3,2016-06-23 11:36:55,0.42952704757166155,0.5082793902447645,424367
0,2016-06-24 03:29:29,0.4756629541108066,0.5149160313531636,876339
0,2016-06-25 21:11:17,0.42688769643541585,0.4824638762634828,427489
